Study_accession,OP_disease,OP_age,OP_sex,OP_tissue_types,OP_organism,OP_strain_info,PR_disease,PR_age,PR_sex,PR_tissue_types,PR_organism,PR_strain_info
GSE109712,Not-available,Not-available,Not-available,Not-available,Sample-level available,Not-available,Not-available,Not-available,Not-available,Not-available,Sample-level available,Sample-level available
GSE112229,Not-available,Not-available,Not-available,Not-available,Sample-level available,Not-available,Not-available,Not-available,Not-available,Not-available,Sample-level available,Sample-level available
GSE109965,Not-available,Not-available,Experiment-level  available,Sample-level available,Sample-level available,Not-available,Not-available,Not-available,Not-available,Sample-level available,Sample-level available,Sample-level available
GSE103444,Not-available,Not-available,Not-available,Not-available,Experiment-level  available,Not-available,Not-available,Not-available,Not-available,Sample-level available,Sample-level available,Sample-level available
GSE104284,Not-available,Not-available,Sample-level available,Not-available,Sample-level available,Sample-level available,Not-available,Not-available,Not-available,Sample-level available,Sample-level available,Sample-level available
GSE116708,Not-available,Not-available,Sample-level available,Not-available,Sample-level available,Sample-level available,Not-available,Not-available,Not-available,Sample-level available,Sample-level available,Sample-level available
GSE119120,Not-available,Not-available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Not-available,Not-available,Not-available,Sample-level available,Sample-level available,Sample-level available
GSE110058,Not-available,Not-available,Not-available,Experiment-level  available,Experiment-level  available,Sample-level available,Not-available,Not-available,Not-available,Sample-level available,Sample-level available,Sample-level available
GSE119270,Not-available,Experiment-level  available,Experiment-level  available,Not-available,Sample-level available,Experiment-level  available,Not-available,Not-available,Not-available,Sample-level available,Sample-level available,Sample-level available
GSE100963,Experiment-level  available,Not-available,Sample-level available,Sample-level available,Sample-level available,Experiment-level  available,Not-available,Not-available,Not-available,Sample-level available,Sample-level available,Sample-level available
GSE111229,Not-available,Sample-level available,Not-available,Experiment-level  available,Sample-level available,Experiment-level  available,Not-available,Not-available,Not-available,Sample-level available,Sample-level available,Sample-level available
GSE119509,Not-available,Experiment-level  available,Sample-level available,Experiment-level  available,Sample-level available,Experiment-level  available,Not-available,Not-available,Not-available,Sample-level available,Sample-level available,Sample-level available
GSE101647,Not-available,Not-available,Experiment-level  available,Experiment-level  available,Sample-level available,Experiment-level  available,Not-available,Not-available,Not-available,Sample-level available,Sample-level available,Sample-level available
GSE103753,Not-available,Sample-level available,Not-available,Sample-level available,Sample-level available,Experiment-level  available,Sample-level available,Not-available,Not-available,Sample-level available,Sample-level available,Sample-level available
GSE108451,Not-available,Sample-level available,Experiment-level  available,Not-available,Sample-level available,Not-available,Not-available,Not-available,Not-available,Sample-level available,Sample-level available,Sample-level available
GSE100597,Not-available,Not-available,Not-available,Sample-level available,Sample-level available,Not-available,Not-available,Not-available,Not-available,Sample-level available,Sample-level available,Sample-level available
GSE101601,Not-available,Not-available,Not-available,Sample-level available,Sample-level available,Not-available,Not-available,Not-available,Not-available,Sample-level available,Sample-level available,Sample-level available
GSE104525,Not-available,Not-available,Not-available,Sample-level available,Sample-level available,Not-available,Not-available,Not-available,Not-available,Sample-level available,Sample-level available,Sample-level available
GSE101712,Not-available,Experiment-level  available,Not-available,Experiment-level  available,Sample-level available,Not-available,Not-available,Sample-level available,Not-available,Not-available,Sample-level available,Sample-level available
GSE103221,Not-available,Not-available,Not-available,Experiment-level  available,Sample-level available,Experiment-level  available,Not-available,Sample-level available,Not-available,Not-available,Sample-level available,Sample-level available
GSE116165,Not-available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available,Not-available,Sample-level available,Not-available,Not-available,Sample-level available,Sample-level available
GSE102931,Not-available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Not-available,Not-available,Sample-level available,Not-available,Sample-level available,Sample-level available,Sample-level available
GSE110283,Sample-level available,Sample-level available,Not-available,Sample-level available,Sample-level available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Sample-level available,Sample-level available
GSE109796,Not-available,Not-available,Experiment-level  available,Sample-level available,Sample-level available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Sample-level available,Sample-level available
GSE100088,Not-available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Experiment-level  available,Not-available,Sample-level available,Not-available,Sample-level available,Sample-level available,Sample-level available
GSE118770,Not-available,Experiment-level  available,Experiment-level  available,Sample-level available,Sample-level available,Experiment-level  available,Not-available,Sample-level available,Not-available,Sample-level available,Sample-level available,Sample-level available
