Study_ID,Disease_df1,OP_Disease_Condition,OP_Age,OP_Organism,OP_Sex,OP_Tissue_Type,OP_Ethnicity,PR_Disease_Condition,PR_Age,PR_Organism,PR_Sex,PR_Tissue_Type,PR_Ethnicity
GSE138614,MS,Sample-level available,Experiment-level  available,Sample-level available,Experiment-level  available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available
GSE152326,CVD,Sample-level available,Experiment-level  available,Sample-level available,Experiment-level  available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available
GSE156902,MS,Sample-level available,Experiment-level  available,Sample-level available,Experiment-level  available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available
GSE159033,MS,Sample-level available,Experiment-level  available,Sample-level available,Experiment-level  available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available
GSE159035,MS,Sample-level available,Experiment-level  available,Sample-level available,Experiment-level  available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available
GSE173790,MS,Sample-level available,Experiment-level  available,Sample-level available,Experiment-level  available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available
GSE211739,MS,Sample-level available,Experiment-level  available,Sample-level available,Experiment-level  available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available
GSE25534,TB,Sample-level available,Experiment-level  available,Sample-level available,Experiment-level  available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available
GSE27034,CVD,Sample-level available,Experiment-level  available,Sample-level available,Experiment-level  available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available
GSE33223,AML,Sample-level available,Experiment-level  available,Sample-level available,Experiment-level  available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available
GSE37250,TB,Sample-level available,Experiment-level  available,Sample-level available,Experiment-level  available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available
GSE39939,TB,Sample-level available,Experiment-level  available,Sample-level available,Experiment-level  available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available
GSE39940,TB,Sample-level available,Experiment-level  available,Sample-level available,Experiment-level  available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available
GSE40553,TB,Sample-level available,Experiment-level  available,Sample-level available,Experiment-level  available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available
GSE40586,Sepsis,Sample-level available,Experiment-level  available,Sample-level available,Experiment-level  available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available
GSE58411,TB,Sample-level available,Experiment-level  available,Sample-level available,Experiment-level  available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available
GSE66099,Sepsis,Sample-level available,Experiment-level  available,Sample-level available,Experiment-level  available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available
GSE83892,TB,Sample-level available,Experiment-level  available,Sample-level available,Experiment-level  available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available
GSE84076,TB,Sample-level available,Experiment-level  available,Sample-level available,Experiment-level  available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available
GSE94907,TB,Sample-level available,Experiment-level  available,Sample-level available,Experiment-level  available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available
GSE9960,Sepsis,Experiment-level  available,Experiment-level  available,Sample-level available,Experiment-level  available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available
GSE95459,IBD,Experiment-level  available,Experiment-level  available,Experiment-level  available,Experiment-level  available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available
GSE147600,IBD,Sample-level available,Not-available,Sample-level available,Not-available,Experiment-level  available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available
GSE171770,IBD,Sample-level available,Experiment-level  available,Sample-level available,Experiment-level  available,Experiment-level  available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available
GSE135170,IBD,Experiment-level  available,Experiment-level  available,Sample-level available,Experiment-level  available,Experiment-level  available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available
GSE172404,IBD,Experiment-level  available,Experiment-level  available,Sample-level available,Experiment-level  available,Experiment-level  available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available
GSE74092,TB,Sample-level available,Experiment-level  available,Sample-level available,Experiment-level  available,Sample-level available,Sample-level available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available
GSE56153,TB,Sample-level available,Experiment-level  available,Sample-level available,Not-available,Sample-level available,Experiment-level  available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available
GSE74224,Sepsis,Experiment-level  available,Sample-level available,Sample-level available,Experiment-level  available,Sample-level available,Experiment-level  available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available
GSE8121,Sepsis,Experiment-level  available,Sample-level available,Sample-level available,Experiment-level  available,Sample-level available,Experiment-level  available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available
GSE10474,Sepsis,Sample-level available,Experiment-level  available,Sample-level available,Experiment-level  available,Sample-level available,Experiment-level  available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available
GSE138948,TB,Sample-level available,Experiment-level  available,Sample-level available,Experiment-level  available,Sample-level available,Experiment-level  available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available
GSE144326,AML,Sample-level available,Experiment-level  available,Sample-level available,Experiment-level  available,Sample-level available,Experiment-level  available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available
GSE152239,AML,Sample-level available,Experiment-level  available,Sample-level available,Experiment-level  available,Sample-level available,Experiment-level  available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available
GSE153342,TB,Sample-level available,Experiment-level  available,Sample-level available,Experiment-level  available,Sample-level available,Experiment-level  available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available
GSE21802,Sepsis,Sample-level available,Experiment-level  available,Sample-level available,Experiment-level  available,Sample-level available,Experiment-level  available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available
GSE32707,Sepsis,Sample-level available,Experiment-level  available,Sample-level available,Experiment-level  available,Sample-level available,Experiment-level  available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available
GSE6112,TB,Sample-level available,Experiment-level  available,Sample-level available,Experiment-level  available,Sample-level available,Experiment-level  available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available
GSE63042,Sepsis,Sample-level available,Experiment-level  available,Sample-level available,Experiment-level  available,Sample-level available,Experiment-level  available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available
GSE95690,AML,Sample-level available,Experiment-level  available,Sample-level available,Experiment-level  available,Sample-level available,Experiment-level  available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available
GSE63990,Sepsis,Experiment-level  available,Experiment-level  available,Sample-level available,Experiment-level  available,Sample-level available,Experiment-level  available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available
GSE134766,CVD,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Not-available,Sample-level available,Sample-level available,Sample-level available,Not-available,Sample-level available,Not-available
GSE26378,Sepsis,Experiment-level  available,Sample-level available,Sample-level available,Experiment-level  available,Sample-level available,Not-available,Sample-level available,Sample-level available,Sample-level available,Not-available,Sample-level available,Not-available
GSE118469,TB,Sample-level available,Experiment-level  available,Sample-level available,Experiment-level  available,Sample-level available,Not-available,Sample-level available,Sample-level available,Sample-level available,Not-available,Sample-level available,Not-available
GSE159034,IBD,Sample-level available,Experiment-level  available,Sample-level available,Experiment-level  available,Sample-level available,Not-available,Sample-level available,Sample-level available,Sample-level available,Not-available,Sample-level available,Not-available
GSE119600,IBD,Experiment-level  available,Experiment-level  available,Sample-level available,Experiment-level  available,Sample-level available,Not-available,Sample-level available,Sample-level available,Sample-level available,Not-available,Sample-level available,Not-available
GSE101817,IBD,Experiment-level  available,Experiment-level  available,Sample-level available,Experiment-level  available,Experiment-level  available,Not-available,Sample-level available,Sample-level available,Sample-level available,Not-available,Sample-level available,Not-available
GSE59421,CVD,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Not-available,Sample-level available,Not-available
GSE12417,AML,Sample-level available,Experiment-level  available,Sample-level available,Experiment-level  available,Not-available,Experiment-level  available,Sample-level available,Sample-level available,Sample-level available,Not-available,Sample-level available,Not-available
GSE111889,IBD,Experiment-level  available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Sample-level available,Sample-level available,Not-available
GSE120774,CVD,Sample-level available,Not-available,Sample-level available,Sample-level available,Sample-level available,Not-available,Sample-level available,Not-available,Sample-level available,Sample-level available,Sample-level available,Not-available
